"From"	"To"
"1569519_at"	"NBPF9"
"1569519_at"	"NBPF8"
"1569519_at"	"NBPF10"
"1569519_at"	"NOTCH2NLB"
"1569519_at"	"NBPF19"
"1569519_at"	"NBPF26"
"1569519_at"	"LOC102724250"
"1569527_at"	NA
"1569538_at"	NA
"1569540_at"	NA
"1569594_a_at"	"NEMF"
"1569601_at"	NA
"1569666_s_at"	NA
"1569906_s_at"	"PHF20"
"1569973_at"	"SEPTIN7P2"
"1569974_x_at"	"SEPTIN7P2"
"1570087_at"	NA
"1570143_at"	NA
"1570165_at"	NA
"1570210_x_at"	"PPP6R2"
"1570248_at"	NA
"1570249_x_at"	NA
"1570439_at"	NA
"1570507_at"	"SCAF11"
"1570511_at"	"ARHGEF10L"
"1570552_at"	NA
"1570571_at"	"CCDC91"
"1598_g_at"	"GAS6"
"160020_at"	"MMP14"
"1729_at"	"TRADD"
"200000_s_at"	"PRPF8"
"200001_at"	"CAPNS1"
"200002_at"	"RPL35"
"200003_s_at"	"RPL28"
"200004_at"	"EIF4G2"
"200005_at"	"EIF3D"
"200006_at"	"PARK7"
"200007_at"	"SRP14"
"200008_s_at"	"GDI2"
"200009_at"	"GDI2"
"200010_at"	"RPL11"
"200011_s_at"	"ARF3"
"200012_x_at"	"RPL21"
"200012_x_at"	"RPL21P28"
"200013_at"	"RPL24"
"200014_s_at"	"HNRNPC"
"200015_s_at"	"SEPTIN2"
"200016_x_at"	"HNRNPA1"
"200017_at"	"RPS27A"
"200018_at"	"RPS13"
"200019_s_at"	"FAU"
"200020_at"	"TARDBP"
"200021_at"	"CFL1"
"200022_at"	"RPL18"
"200023_s_at"	"EIF3F"
"200024_at"	"RPS5"
"200025_s_at"	"RPL27"
"200026_at"	"RPL34"
"200027_at"	"NARS1"
"200028_s_at"	"STARD7"
"200029_at"	"RPL19"
"200030_s_at"	"SLC25A3"
"200031_s_at"	"RPS11"
"200032_s_at"	"RPL9"
"200033_at"	"DDX5"
"200034_s_at"	"RPL6"
"200034_s_at"	"RPL6P27"
"200035_at"	"CTDNEP1"
"200036_s_at"	"RPL10A"
"200037_s_at"	"CBX3"
"200038_s_at"	"RPL17"
